time,open,high,low,close
1606237200,1.33487,1.33506,1.33297,1.3343
1606240800,1.3343,1.33626,1.33401,1.33619
1606244400,1.33619,1.33621,1.33469,1.33513
1606248000,1.33513,1.33619,1.335,1.33615
1606251600,1.33615,1.33649,1.33551,1.33565
1606255200,1.33565,1.33607,1.33414,1.33561
1606258800,1.33561,1.33635,1.33561,1.33617
1606262400,1.33617,1.33664,1.33559,1.33608
1606266000,1.33608,1.33646,1.33567,1.33577
1606269600,1.33577,1.33637,1.33536,1.33633
1606273200,1.33633,1.33664,1.3355,1.33587
1606276800,1.33587,1.33608,1.33541,1.33549
1606280400,1.33549,1.336,1.33444,1.33452
1606284000,1.33452,1.3355,1.33374,1.33547
1606287600,1.33547,1.33813,1.33531,1.337
1606291200,1.337,1.33845,1.33307,1.33435
1606294800,1.33435,1.33568,1.33316,1.33433
1606298400,1.33433,1.33467,1.33099,1.33132
1606302000,1.33132,1.3331,1.33048,1.33253
1606305600,1.33253,1.33573,1.33247,1.33489
1606309200,1.33489,1.33594,1.33306,1.33389
1606312800,1.33389,1.33712,1.33269,1.33622
1606316400,1.33622,1.33937,1.3339,1.33786
1606320000,1.33786,1.33908,1.33718,1.33759
1606323600,1.33759,1.33849,1.33735,1.33808
1606327200,1.33808,1.33886,1.33788,1.33819
1606330800,1.33819,1.33875,1.33728,1.33822
1606334400,1.33822,1.33933,1.33803,1.33915
1606338000,1.33915,1.33916,1.33752,1.33758
1606341600,1.33758,1.33841,1.33715,1.33809
1606345200,1.33809,1.33843,1.33802,1.3383
1606348800,1.3383,1.33929,1.3383,1.33879
1606352400,1.33879,1.33977,1.33876,1.33944
1606356000,1.33944,1.33949,1.33856,1.33917
1606359600,1.33917,1.3395,1.33835,1.33836
1606363200,1.33836,1.33897,1.33836,1.3388
1606366800,1.3388,1.33909,1.33853,1.33885
1606370400,1.33885,1.33972,1.33877,1.33928
1606374000,1.33928,1.33938,1.3364,1.33684
1606377600,1.33684,1.3378,1.33541,1.33582
1606381200,1.33582,1.33755,1.33567,1.33612
1606384800,1.33612,1.33645,1.33419,1.33518
1606388400,1.33518,1.33609,1.3342,1.33556
1606392000,1.33556,1.33582,1.33425,1.33472
1606395600,1.33472,1.33538,1.33335,1.33357
1606399200,1.33357,1.33382,1.33221,1.33312
1606402800,1.33312,1.33383,1.33219,1.33289
1606406400,1.33289,1.33569,1.33272,1.33552
1606410000,1.33552,1.33633,1.33466,1.33544
1606413600,1.33544,1.33546,1.33466,1.33516
1606417200,1.33516,1.33587,1.33514,1.33561
1606420800,1.33561,1.33614,1.33553,1.33554
1606424400,1.33554,1.33594,1.33512,1.33554
1606428000,1.33554,1.33576,1.33491,1.33542
1606431600,1.33542,1.33578,1.33492,1.33532
1606435200,1.33532,1.33546,1.33485,1.3351
1606438800,1.3351,1.33601,1.33503,1.33589
1606442400,1.33589,1.33605,1.33552,1.33592
1606446000,1.33592,1.33726,1.33586,1.337
1606449600,1.337,1.33736,1.33685,1.33699
1606453200,1.33699,1.33752,1.33679,1.33745
1606456800,1.33745,1.33766,1.33661,1.33672
1606460400,1.33672,1.3373,1.33619,1.33685
1606464000,1.33685,1.33816,1.33534,1.33705
1606467600,1.33705,1.33717,1.33542,1.33578
1606471200,1.33578,1.33601,1.33156,1.33186
1606474800,1.33186,1.33354,1.33181,1.33191
1606478400,1.33191,1.33357,1.33113,1.33285
1606482000,1.33285,1.33542,1.33207,1.33474
1606485600,1.33474,1.33589,1.3339,1.33456
1606489200,1.33456,1.33632,1.33384,1.33418
1606492800,1.33418,1.33532,1.3293,1.33062
1606496400,1.33062,1.33179,1.32994,1.33168
1606500000,1.33168,1.33179,1.32935,1.33037
1606503600,1.33037,1.3305,1.33006,1.33041
1606507200,1.33041,1.33069,1.32947,1.32948
1606510800,1.32948,1.33146,1.32851,1.33052
1606687200,1.3329,1.33305,1.33109,1.33235
1606690800,1.33235,1.33348,1.3321,1.33318
1606694400,1.33318,1.33366,1.33237,1.33336
1606698000,1.33336,1.33405,1.33286,1.33401
1606701600,1.33401,1.33425,1.33343,1.33354
1606705200,1.33354,1.3344,1.33344,1.33367
1606708800,1.33367,1.33412,1.33337,1.33376
1606712400,1.33376,1.33427,1.33356,1.33407
1606716000,1.33407,1.33488,1.33393,1.33426
1606719600,1.33426,1.33576,1.3338,1.33512
1606723200,1.33512,1.33517,1.33307,1.33329
1606726800,1.33329,1.33383,1.33048,1.33264
1606730400,1.33264,1.33305,1.33181,1.333
1606734000,1.333,1.33641,1.33282,1.33563
1606737600,1.33563,1.33577,1.33186,1.33265
1606741200,1.33265,1.33687,1.33237,1.33632
1606744800,1.33632,1.33859,1.33504,1.3372
1606748400,1.3372,1.33811,1.33174,1.33519
1606752000,1.33519,1.33585,1.33311,1.33384
1606755600,1.33384,1.33541,1.33332,1.33533
1606759200,1.33533,1.33604,1.33444,1.33492
1606762800,1.33492,1.33522,1.33387,1.33426
1606766400,1.33426,1.33493,1.3328,1.33285
1606770000,1.33285,1.33335,1.33168,1.33173
1606773600,1.33173,1.33323,1.3316,1.33253
1606777200,1.33253,1.33411,1.33233,1.33353
1606780800,1.33353,1.33459,1.33345,1.33437
1606784400,1.33437,1.33485,1.33411,1.33452
1606788000,1.33452,1.33587,1.33451,1.33554
1606791600,1.33554,1.33599,1.33542,1.33582
1606795200,1.33582,1.33661,1.33581,1.33622
1606798800,1.33622,1.33668,1.33602,1.33666
1606802400,1.33666,1.33694,1.336,1.33631
1606806000,1.33631,1.33932,1.33622,1.33822
1606809600,1.33822,1.34079,1.33753,1.33997
1606813200,1.33997,1.34041,1.33508,1.33546
1606816800,1.33546,1.33646,1.33421,1.33541
1606820400,1.33541,1.33567,1.3325,1.3328
1606824000,1.3328,1.33348,1.33155,1.33307
1606827600,1.33307,1.33536,1.33216,1.33516
1606831200,1.33516,1.33591,1.33319,1.33498
1606834800,1.33498,1.33746,1.33458,1.33604
1606838400,1.33604,1.34422,1.33604,1.33903
1606842000,1.33903,1.343,1.3389,1.34188
1606845600,1.34188,1.34302,1.34153,1.34291
1606849200,1.34291,1.3431,1.34147,1.34162
1606852800,1.34162,1.34279,1.34101,1.34268
1606856400,1.34268,1.34293,1.34106,1.34119
1606860000,1.34119,1.34264,1.34111,1.3423
1606863600,1.3423,1.34281,1.34181,1.34216
1606867200,1.34216,1.34296,1.34169,1.34214
1606870800,1.34214,1.34235,1.34067,1.34099
1606874400,1.34099,1.34236,1.34094,1.34148
1606878000,1.34148,1.34255,1.34146,1.34239
1606881600,1.34239,1.34256,1.34166,1.34172
1606885200,1.34172,1.34193,1.34118,1.34134
1606888800,1.34134,1.34208,1.34056,1.34069
1606892400,1.34069,1.34411,1.33508,1.33778
1606896000,1.33778,1.33864,1.33382,1.33395
1606899600,1.33395,1.33775,1.33382,1.33434
1606903200,1.33434,1.33651,1.3339,1.33542
1606906800,1.33542,1.33588,1.33436,1.3346
1606910400,1.3346,1.3346,1.33034,1.33278
1606914000,1.33278,1.33384,1.32924,1.33048
1606917600,1.33048,1.33165,1.32876,1.33072
1606921200,1.33072,1.33443,1.33071,1.33253
1606924800,1.33253,1.33571,1.33244,1.33465
1606928400,1.33465,1.33645,1.33457,1.33519
1606932000,1.33519,1.336,1.33473,1.33586
1606935600,1.33586,1.33688,1.33521,1.33588
1606939200,1.33588,1.33671,1.33572,1.33667
1606942800,1.33667,1.33747,1.33595,1.33596
1606946400,1.33596,1.33729,1.33563,1.3372
1606950000,1.3372,1.33779,1.3355,1.33682
1606953600,1.33682,1.33696,1.33533,1.3356
1606957200,1.3356,1.33686,1.33553,1.33658
1606960800,1.33658,1.33773,1.33648,1.33764
1606964400,1.33764,1.33891,1.33752,1.33874
1606968000,1.33874,1.33886,1.33818,1.33872
1606971600,1.33872,1.33904,1.33853,1.33888
1606975200,1.33888,1.33989,1.33849,1.33965
1606978800,1.33965,1.3409,1.33816,1.33984
1606982400,1.33984,1.34137,1.33925,1.34012
1606986000,1.34012,1.34106,1.33912,1.3402
1606989600,1.3402,1.34213,1.33994,1.34174
1606993200,1.34174,1.34527,1.3416,1.34404
1606996800,1.34404,1.34542,1.34283,1.34507
1607000400,1.34507,1.3466,1.34451,1.34643
1607004000,1.34643,1.34745,1.345,1.34579
1607007600,1.34579,1.34999,1.34569,1.34985
1607011200,1.34985,1.35001,1.34768,1.34957
1607014800,1.34957,1.34986,1.34735,1.34856
1607018400,1.34856,1.34876,1.34322,1.34477
1607022000,1.34477,1.34616,1.34446,1.34483
1607025600,1.34483,1.34572,1.34364,1.34542
1607029200,1.34542,1.34624,1.34405,1.34405
1607032800,1.34405,1.34569,1.34367,1.34492
1607036400,1.34492,1.34579,1.34478,1.34517
1607040000,1.34517,1.34679,1.34471,1.34569
1607043600,1.34569,1.34618,1.34493,1.34523
1607047200,1.34523,1.34553,1.34482,1.34532
1607050800,1.34532,1.34551,1.34472,1.34488
1607054400,1.34488,1.34518,1.34448,1.34461
1607058000,1.34461,1.34526,1.34432,1.34497
1607061600,1.34497,1.34712,1.34474,1.34666
1607065200,1.34666,1.34704,1.34348,1.3442
1607068800,1.3442,1.34675,1.34097,1.34192
1607072400,1.34192,1.34941,1.34184,1.34822
1607076000,1.34822,1.34877,1.3435,1.34646
1607079600,1.34646,1.34772,1.34496,1.34685
